,Time,,,,,,,,,,,,,,,Total,,,Number of game,,,,
Date,6-7,7-8,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,,,,,,,,
2024-05-07,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,,,,,
2024-05-08,Futsal training,MONTHLY,,,,,,,,,,o,1000,o,0,1000,,,1,,,,
2024-05-09,Futsal training,MONTHLY,,,,,,,,,,1000,500,0,0,1500,,,2,,,,
2024-05-10,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,,,,,
2024-05-11,Futsal training,MONTHLY,0,0,1000,0,0,600,0,0,1000,400,1000,0,0,4000,,,4,,,,
2024-05-12,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,,,,,
2024-05-13,Futsal training,MONTHLY,,,,,,,,,,1000,500,,,1500,23350,,2,,,,
2024-05-14,Futsal training,MONTHLY,,,,,,,,,,0,1000,0,0,1000,,,1,,,,
2024-05-15,Futsal training,MONTHLY,,,,,,,,,,0,800,0,0,800,,,1,,,,
2024-05-16,Futsal training,MONTHLY,,,,,,,,,,1000,500,0,0,1500,,,2,,,,
2024-05-17,Futsal training,MONTHLY,,,,,,,,,,1000,500,0,0,1500,,,2,,,,
2024-05-18,Futsal training,MONTHLY,,,,,,,,,,1000,900,,,1900,,,2,,,,
2024-05-19,Futsal training,MONTHLY,,,,,,,940,,,,,,,940,,,1,,,,
2024-05-20,Futsal training,MONTHLY,,,,,,,,,,,800,,,800,,,1,,,,
2024-05-21,Futsal training,MONTHLY,,,,,,,,,,,,,,0,,,,,,,
2024-05-22,Futsal training,MONTHLY,,,1000,,,,,,,Free Slot ,400+Remaining,(1100) GYM,,400,,,2,,,,
2024-05-23,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,,,,,
2024-05-24,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,,,,,
2024-05-25,Futsal training,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-05-26,Futsal training,MONTHLY,,,,,,,,,,0,0,0,0,0,,,,,,,
